X,Y,Name,description,altitudeMode
-46.6727747,-23.5999919,Bar Original,,relativeToGround
-46.6745567,-23.6034281,Camel Bar,,relativeToGround
-46.6726436,-23.6012382,Bar do Adriano,,relativeToGround
-46.6689823,-23.6016728,B Carioca,,relativeToGround
-46.6690399,-23.600197,Museo Verónica,,relativeToGround
-46.6648416,-23.6021591,Armazén Paulista,,relativeToGround
-46.6753346,-23.6048677,Bar E Lanchonete Do Matheus,,relativeToGround
-46.6743284,-23.6010283,Bar Mestrado,,relativeToGround
-46.6679675,-23.6115837,TonTon Jazz & Music Bar - Pub em Moema,,relativeToGround
-46.6743756,-23.6043389,Bar e Lanchonete Dois Passarinhos,,relativeToGround
-46.6723204,-23.6062064,Empório Bar e Restaurante,,relativeToGround
-46.6699874,-23.6081309,La Fraternité Beer Shop - Moema,,relativeToGround
-46.6593592,-23.6083153,Bar do Juarez,,relativeToGround
-46.66462,-23.605047,La Gloria Pizza Bar,,relativeToGround
-46.6678098,-23.612599,Steel Music Bar,,relativeToGround
-46.676966,-23.604025,Bar do Edu,,relativeToGround
-46.6600617,-23.6091768,Serafim Moema SP,,relativeToGround
-46.6590061,-23.6040687,Bar do Julio,,relativeToGround
-46.6702274,-23.6076184,Banqueta Bar,,relativeToGround
-46.6630154,-23.6122951,Bar do Giba,,relativeToGround
-46.6675075,-23.6020511,Canto do Canário Bar e Restaurante,,relativeToGround
-46.662045,-23.6112951,Bar Salvador,,relativeToGround
